quotes_USD_price,circulating_supply,id,quotes_USD_percent_change_7d,symbol,website_slug,max_supply,quotes_USD_volume_24h,quotes_USD_percent_change_1h,name,last_updated,total_supply,rank,quotes_USD_percent_change_24h,quotes_USD_market_cap
0.022418,39722531,2710,20.72,LIVE,live-stars,,7388.51,-0.06,Live Stars,1531696903,54722996,835,4.48,890500
0.184081,214300790,2711,-22.11,MTC,docademic,,343230,-0.39,Docademic,1531696843,850000000,175,-5.94,39448704
0.015997,,2712,29.69,MT,mytoken,,747831,-0.16,MyToken,1531696902,4000000000,1418,10.37,
0.0049207,,2713,-17.55,KEY,key,,147631,-0.09,KEY,1531696903,1E+11,1462,0.72,
0.000496475,1.04212E+11,2714,7.33,NTY,nexty,1.8E+11,170391,-0.22,Nexty,1531696902,1.8E+11,146,13.88,51738857
0.00625248,112839768,2715,-1.2,CJT,connectjob,,191.207,-0.14,ConnectJob,1531696903,166298157,1072,-26.25,705528
0.0153285,76615188,2717,-5.38,BOUTS,boutspro,,25705.2,1.75,BoutsPro,1531696903,2000000000,795,11.3,1174396
0.0147942,376376446,2718,-18.91,PAL,policypal-network,,306264,-0.29,PolicyPal Network,1531696901,1000000000,539,2.05,5568188
0.0169923,,2719,-9.87,CRE,cybereits,,738872,-0.06,Cybereits,1531696902,1000000000,1419,-5.46,
0.00459815,279760863,2720,-33.51,GENE,parkgene,,52312.6,-18.04,Parkgene,1531696903,1000000000,783,-20.39,1286382
0.703579,3058007,2721,-19.97,APR,apr-coin,,2488.3,0.15,APR Coin,1531696903,3058007,721,-4.15,2151549
0.161882,,2722,14.71,AC3,ac3,,27212.1,-0.06,AC3,1531696903,80123968,1492,7.61,
0.0258078,730326443,2723,-17.76,FXT,fuzex,,22182.8,-2.03,FuzeX,1531696903,1087156610,290,1.93,18848119
0.0157897,192085884,2724,-8.49,ZIPT,zippie,1000000000,233450,-0.63,Zippie,1531696901,1000000000,665,0.37,3032978
0.0172093,,2725,-36.7,SKM,skrumble-network,,403290,-0.11,Skrumble Network,1531696902,1500000000,1430,3.1,
0.189604,37136326,2726,21.9,GEN,daostack,,183867,-2.53,DAOstack,1531696901,60000000,491,20.43,7041196
0.0575231,239887951,2727,-30.81,BZNT,bezant,,1977700,-0.88,Bezant,1531696902,1000000000,348,2.49,13799099
0.0978687,9928264,2729,5.87,TEAM,tokenstars,,87129.8,0.18,TokenStars,1531696900,17818682,822,6.14,971666
1.35E-05,7521514086,2730,42.28,FRV,fitrova,,51.5011,0.24,Fitrova,1531696902,7588648240,1243,54.56,101797
0.0451376,32400052,2731,-40.14,OOT,utrum,,2403.23,-0.06,Utrum,1531696900,216000072,770,-13,1462461
0.0420731,824000000,2732,-12.1,ATX,aston,,123496,2.91,Aston,1531696903,1000000000,198,-1.43,34668234
0.00873274,,2733,-16.33,FREC,freyrchain,,734450,0,Freyrchain,1531696902,10000000000,1420,1.76,
0.00171563,,2734,5.06,EDU,edu-coin,,1207860,-0.3,EduCoin,1531696962,15000000000,1402,3.5,
0.00160658,,2735,-19.19,CNN,content-neutrality-network,,2883320,-0.3,Content Neutrality Network,1531696961,1E+11,1388,-1.34,
0.0015896,,2736,-17.88,INSUR,insurchain,,198018,0.29,InsurChain,1531696961,20000000000,1454,1.55,
0.0411781,,2737,-47.36,GSC,global-social-chain,,650968,-0.28,Global Social Chain,1531696962,1000000000,1422,-0.55,
0.00200928,,2738,-4.99,SGCC,super-game-chain,,1095720,0.88,Super Game Chain,1531696963,20000000000,1405,20.63,
41.7417,42685,2739,0.13,DGX,digix-gold-token,,920.819,0.05,Digix Gold Token,1531696961,50200,750,1.89,1781763
0.12682,,2740,6.33,INC,influence-chain,,477830,-0.54,Influence Chain,1531696961,1000000000,1427,3.12,
0.00209507,,2741,-32.05,IIC,intelligent-investment-chain,,609706,-2,Intelligent Investment Chain,1531696961,21000000000,1423,-2.52,
0.0124525,2582965294,2742,-12.47,SKB,sakura-bloom,,11245.7,-0.04,Sakura Bloom,1531696961,6000000000,205,-8.84,32164375
0.0157732,6180917,2743,-9.59,BANK,bank-coin,,1.43358,-0.04,Bank Coin,1531696961,15107218,1247,-11.16,97493
